Gender;Customer Type;age;Type of Travel;Class;distance;Inflight wifi service;Departure/Arrival time convenient;Ease of Online booking;Gate location;Food and drink;Online boarding;Seat comfort;Inflight entertainment;On-board service;Leg room service;Baggage handling;Checkin service;Inflight service;Cleanliness;departure delay;arrival delay;satisfaction
Female;Loyal Customer;50;Business travel;Eco;0;5;4;3;4;3;4;3;5;5;5;5;2;5;5;50;45;satisfied
Female;Loyal Customer;40;Business travel;Business;3000;1;1;3;1;5;4;5;4;4;4;4;3;4;5;0;0;satisfied
Male;disloyal Customer;20;Business travel;Eco;0;2;0;2;4;2;2;2;2;4;1;3;2;2;2;0;0;neutral or dissatisfied
Male;Loyal Customer;40;Business travel;Business;3500;0;0;0;2;3;4;4;1;1;1;1;3;1;4;0;5;satisfied
Female;Loyal Customer;50;Business travel;Eco;1000;2;3;4;3;4;1;2;2;2;2;2;4;2;4;0;20;satisfied
Male;Loyal Customer;20;Business travel;Eco;500;3;3;3;3;5;5;3;5;4;3;1;1;2;5;0;0;satisfied
Female;Loyal Customer;80;Business travel;Business;4000;5;5;5;5;3;5;5;5;5;5;5;4;5;3;0;0;satisfied
Female;Loyal Customer;40;Business travel;Business;2500;2;2;2;2;4;4;5;4;4;4;4;5;4;3;75;65;satisfied
Male;Loyal Customer;50;Business travel;Eco;500;5;2;2;2;5;5;5;5;2;2;5;3;3;5;0;0;satisfied
Female;Loyal Customer;50;Business travel;Business;1500;2;2;2;2;3;4;4;4;4;4;4;5;4;4;30;15;satisfied
Female;Loyal Customer;50;Business travel;Eco;1000;4;1;1;1;5;1;5;3;3;4;3;1;3;4;30;20;satisfied
Female;Loyal Customer;30;Business travel;Business;500;2;5;5;5;1;3;4;2;2;2;2;3;2;4;20;5;neutral or dissatisfied
Female;Loyal Customer;50;Business travel;Business;1000;5;5;5;5;4;5;5;5;5;5;5;5;5;3;0;0;satisfied
Female;Loyal Customer;60;Business travel;Business;500;1;1;4;1;5;5;4;5;5;5;5;3;5;5;115;115;satisfied
Female;Loyal Customer;50;Business travel;Business;1000;2;2;2;2;5;5;4;4;4;4;4;3;4;5;10;0;satisfied
Male;Loyal Customer;50;Personal Travel;Eco;0;3;4;0;3;2;0;2;2;4;2;4;4;5;2;5;0;neutral or dissatisfied
Female;Loyal Customer;30;Business travel;Eco;500;2;5;5;5;2;2;2;2;4;3;3;4;3;2;0;0;neutral or dissatisfied
Male;Loyal Customer;50;Personal Travel;Eco Plus;1000;5;4;5;3;4;5;4;4;3;5;5;4;5;4;0;0;satisfied
Female;Loyal Customer;40;Personal Travel;Eco;2000;3;4;3;1;4;4;5;5;5;3;5;4;5;3;0;0;neutral or dissatisfied
Female;Loyal Customer;50;Business travel;Business;4000;5;5;5;5;4;5;4;4;4;5;4;5;4;5;10;0;satisfied
Male;Loyal Customer;60;Business travel;Business;500;4;4;4;4;2;4;5;5;5;5;5;5;5;5;20;50;satisfied
Male;Loyal Customer;40;Personal Travel;Eco;1500;3;4;3;4;2;3;2;2;4;2;4;4;5;2;0;0;neutral or dissatisfied
Male;Loyal Customer;60;Personal Travel;Eco;500;1;2;4;3;4;4;4;4;1;3;2;4;3;4;0;0;neutral or dissatisfied
Male;Loyal Customer;30;Business travel;Business;1500;4;4;4;4;4;4;4;4;1;5;3;1;5;4;0;0;satisfied
Female;disloyal Customer;30;Business travel;Eco;500;4;3;5;3;2;5;2;2;3;2;3;4;4;2;0;0;neutral or dissatisfied
Male;Loyal Customer;60;Personal Travel;Eco;500;3;5;3;4;2;3;2;2;3;5;5;4;4;2;0;0;neutral or dissatisfied
Male;Loyal Customer;20;Business travel;Business;3500;4;1;4;4;2;2;2;2;5;5;5;5;4;2;0;0;satisfied
Female;Loyal Customer;20;Business travel;Eco;1500;4;1;1;1;4;4;4;4;1;4;1;1;5;4;5;15;satisfied
Male;Loyal Customer;40;Business travel;Business;1500;3;5;3;3;5;4;5;5;5;5;5;5;5;5;0;0;satisfied
Male;Loyal Customer;50;Business travel;Eco;0;4;3;3;3;4;4;4;4;3;2;3;3;4;4;0;0;neutral or dissatisfied
Male;Loyal Customer;40;Personal Travel;Business;1000;1;5;1;1;1;1;4;3;3;1;5;4;3;5;0;0;neutral or dissatisfied
Female;Loyal Customer;60;Business travel;Eco;500;2;3;3;3;5;2;5;2;2;2;2;2;2;2;0;0;satisfied
Male;disloyal Customer;40;Business travel;Eco;500;2;3;2;4;5;2;5;5;4;3;3;1;4;5;0;0;neutral or dissatisfied
Male;Loyal Customer;20;Personal Travel;Eco;2000;4;5;4;4;5;4;5;5;5;4;4;4;4;5;40;70;neutral or dissatisfied
Female;Loyal Customer;50;Business travel;Eco;0;5;2;2;2;3;4;2;5;5;5;5;2;5;4;0;0;satisfied
Male;Loyal Customer;10;Personal Travel;Eco;500;3;4;3;1;1;3;1;1;3;3;5;4;4;1;80;70;neutral or dissatisfied
Female;Loyal Customer;40;Business travel;Business;500;3;3;3;3;2;4;5;4;4;4;4;4;4;5;10;10;satisfied
Female;Loyal Customer;60;Business travel;Business;3000;1;1;1;1;3;5;4;5;5;5;5;3;5;5;75;70;satisfied
Female;disloyal Customer;30;Business travel;Business;1000;4;4;4;2;2;4;4;2;4;2;4;3;5;2;0;10;neutral or dissatisfied
Female;Loyal Customer;40;Personal Travel;Eco;500;1;4;1;3;5;1;5;5;3;2;5;5;4;5;5;0;neutral or dissatisfied
Female;disloyal Customer;40;Business travel;Business;500;3;3;3;5;4;3;4;4;3;2;5;5;5;4;0;0;neutral or dissatisfied
Male;disloyal Customer;20;Business travel;Eco;500;4;4;4;2;2;4;2;2;4;2;3;1;5;2;0;5;satisfied
Male;Loyal Customer;20;Business travel;Business;500;3;3;3;3;3;3;3;1;5;4;3;3;2;3;115;175;neutral or dissatisfied
Female;Loyal Customer;30;Business travel;Business;1000;1;1;1;1;4;4;4;4;5;3;5;5;4;4;0;5;satisfied
Female;Loyal Customer;40;Business travel;Eco Plus;500;2;3;3;3;2;2;2;2;1;1;3;4;4;2;60;55;neutral or dissatisfied
Female;Loyal Customer;60;Business travel;Eco;500;5;1;1;1;4;2;1;5;5;5;5;5;5;2;90;90;satisfied
Female;Loyal Customer;60;Business travel;Business;2000;2;2;3;2;3;5;4;5;5;5;5;5;5;3;0;0;satisfied
Female;Loyal Customer;60;Personal Travel;Eco;500;2;5;2;5;3;3;4;5;5;2;4;1;5;2;5;0;neutral or dissatisfied
Female;Loyal Customer;50;Business travel;Business;3500;4;4;3;4;2;5;4;5;5;5;5;5;5;3;0;5;satisfied
Female;Loyal Customer;40;Personal Travel;Eco;1000;2;4;2;3;4;4;3;4;4;2;4;2;4;2;0;0;neutral or dissatisfied
Female;Loyal Customer;60;Personal Travel;Eco Plus;1000;3;5;2;3;3;4;5;1;1;2;1;5;1;3;0;0;neutral or dissatisfied
Male;disloyal Customer;20;Business travel;Business;500;4;0;4;2;2;4;2;2;5;3;5;3;5;2;20;30;satisfied
Female;Loyal Customer;50;Business travel;Eco;500;4;2;2;2;3;3;4;4;4;4;4;3;4;3;15;0;satisfied
Male;Loyal Customer;60;Business travel;Eco;500;2;3;4;3;2;2;2;2;2;5;3;3;3;2;0;0;neutral or dissatisfied
Female;Loyal Customer;30;Business travel;Business;500;3;3;4;3;5;5;5;5;4;5;4;3;5;5;0;0;satisfied
Male;disloyal Customer;30;Business travel;Business;1000;3;3;3;2;2;3;2;2;2;1;3;3;2;2;30;45;neutral or dissatisfied
Male;Loyal Customer;30;Business travel;Business;500;3;3;3;3;5;5;5;5;4;3;1;1;1;5;0;0;satisfied
Female;Loyal Customer;70;Personal Travel;Eco;500;3;4;3;1;2;4;5;3;3;3;3;3;3;5;0;0;neutral or dissatisfied
Female;Loyal Customer;30;Personal Travel;Eco;0;3;0;3;3;4;3;5;4;2;2;4;5;3;4;5;5;neutral or dissatisfied
Male;disloyal Customer;40;Business travel;Eco;500;2;0;2;1;1;2;1;1;4;3;4;1;3;1;0;0;neutral or dissatisfied
Male;Loyal Customer;40;Business travel;Business;0;3;3;3;3;5;4;5;4;4;5;4;4;4;5;65;55;satisfied
Female;Loyal Customer;70;Personal Travel;Eco;2000;1;4;1;1;2;5;5;5;5;1;5;4;5;3;0;0;neutral or dissatisfied
Female;Loyal Customer;60;Personal Travel;Eco;500;3;2;3;4;4;3;4;5;5;3;5;4;5;3;0;5;neutral or dissatisfied
Male;Loyal Customer;70;Business travel;Eco;500;4;1;1;1;4;4;4;4;3;1;3;2;5;4;10;5;satisfied
Female;Loyal Customer;20;Business travel;Business;2500;5;5;5;5;3;4;3;3;5;3;3;1;2;3;0;0;satisfied
Female;Loyal Customer;50;Personal Travel;Eco Plus;1000;1;5;1;2;4;4;5;4;4;1;4;5;4;4;5;0;neutral or dissatisfied
Male;Loyal Customer;20;Business travel;Business;1500;2;2;2;2;2;2;2;2;4;3;2;2;4;2;0;0;neutral or dissatisfied
Female;Loyal Customer;70;Personal Travel;Eco;1000;2;3;2;2;4;2;3;5;5;2;5;3;5;3;15;0;neutral or dissatisfied
Female;Loyal Customer;40;Business travel;Business;2000;5;5;5;5;5;4;4;5;5;5;5;4;5;3;50;45;satisfied
Female;Loyal Customer;40;Business travel;Business;1000;2;2;2;2;2;3;5;4;4;4;4;5;4;5;45;40;satisfied
Female;Loyal Customer;50;Personal Travel;Business;1000;3;4;3;5;3;3;5;1;1;3;1;4;1;4;5;0;neutral or dissatisfied
